ANA
2019-10-29 WPG vs. ANA
2019-11-01 VAN vs. ANA
2019-11-03 CHI vs. ANA

ARI
2019-10-30 MTL vs. ARI
2019-11-02 COL vs. ARI
2019-11-04 ARI vs. EDM

BOS
2019-10-29 SJS vs. BOS
2019-11-02 OTT vs. BOS
2019-11-04 PIT vs. BOS

BUF
2019-11-01 BUF vs. WSH
2019-11-02 NYI vs. BUF

CAR
2019-10-29 CGY vs. CAR
2019-11-01 DET vs. CAR
2019-11-02 NJD vs. CAR

CBJ
2019-10-30 EDM vs. CBJ
2019-11-01 CBJ vs. STL
2019-11-02 CGY vs. CBJ

CGY
2019-10-29 CGY vs. CAR
2019-10-31 CGY vs. NSH
2019-11-02 CGY vs. CBJ
2019-11-03 CGY vs. WSH

CHI
2019-10-29 CHI vs. NSH
2019-11-02 CHI vs. LAK
2019-11-03 CHI vs. ANA

COL
2019-10-30 FLA vs. COL
2019-11-01 DAL vs. COL
2019-11-02 COL vs. ARI

DAL
2019-10-29 MIN vs. DAL
2019-11-01 DAL vs. COL
2019-11-02 MTL vs. DAL

DET
2019-10-29 EDM vs. DET
2019-11-01 DET vs. CAR
2019-11-02 DET vs. FLA
2019-11-04 NSH vs. DET

EDM
2019-10-29 EDM vs. DET
2019-10-30 EDM vs. CBJ
2019-11-02 EDM vs. PIT
2019-11-04 ARI vs. EDM

FLA
2019-10-30 FLA vs. COL
2019-11-02 DET vs. FLA

LAK
2019-10-30 VAN vs. LAK
2019-11-02 CHI vs. LAK

MIN
2019-10-29 MIN vs. DAL
2019-10-30 MIN vs. STL
2019-11-02 STL vs. MIN

MTL
2019-10-30 MTL vs. ARI
2019-10-31 MTL vs. VGK
2019-11-02 MTL vs. DAL

NJD
2019-10-30 TBL vs. NJD
2019-11-01 PHI vs. NJD
2019-11-02 NJD vs. CAR

NSH
2019-10-29 CHI vs. NSH
2019-10-31 CGY vs. NSH
2019-11-02 NYR vs. NSH
2019-11-04 NSH vs. DET

NYI
2019-11-01 TBL vs. NYI
2019-11-02 NYI vs. BUF

NYR
2019-10-29 TBL vs. NYR
2019-11-02 NYR vs. NSH
2019-11-04 OTT vs. NYR

OTT
2019-11-02 OTT vs. BOS
2019-11-04 OTT vs. NYR

PHI
2019-10-29 PHI vs. PIT
2019-11-01 PHI vs. NJD
2019-11-02 TOR vs. PHI

PIT
2019-10-29 PHI vs. PIT
2019-11-02 EDM vs. PIT
2019-11-04 PIT vs. BOS

SJS
2019-10-29 SJS vs. BOS
2019-11-01 WPG vs. SJS
2019-11-02 VAN vs. SJS

STL
2019-10-30 MIN vs. STL
2019-11-01 CBJ vs. STL
2019-11-02 STL vs. MIN

TBL
2019-10-29 TBL vs. NYR
2019-10-30 TBL vs. NJD
2019-11-01 TBL vs. NYI

TOR
2019-10-29 WSH vs. TOR
2019-11-02 TOR vs. PHI

VAN
2019-10-30 VAN vs. LAK
2019-11-01 VAN vs. ANA
2019-11-02 VAN vs. SJS

VGK
2019-10-31 MTL vs. VGK
2019-11-02 WPG vs. VGK

WPG
2019-10-29 WPG vs. ANA
2019-11-01 WPG vs. SJS
2019-11-02 WPG vs. VGK

WSH
2019-10-29 WSH vs. TOR
2019-11-01 BUF vs. WSH
2019-11-03 CGY vs. WSH

