ANA
4/4/2018 MIN vs. ANA
4/6/2018 DAL vs. ANA
4/7/2018 ANA vs. ARI

ARI
4/3/2018 ARI vs. CGY
4/5/2018 ARI vs. VAN
4/7/2018 ANA vs. ARI

BOS
4/3/2018 BOS vs. TBL
4/5/2018 BOS vs. FLA
4/7/2018 OTT vs. BOS

BUF
4/4/2018 OTT vs. BUF
4/6/2018 BUF vs. TBL
4/7/2018 BUF vs. FLA

CAR
4/5/2018 CAR vs. PHI
4/7/2018 TBL vs. CAR

CBJ
4/3/2018 DET vs. CBJ
4/5/2018 PIT vs. CBJ
4/7/2018 CBJ vs. NSH

CGY
4/3/2018 ARI vs. CGY
4/5/2018 CGY vs. WPG
4/7/2018 VGK vs. CGY

CHI
4/4/2018 CHI vs. STL
4/6/2018 STL vs. CHI
4/7/2018 CHI vs. WPG

COL
4/5/2018 COL vs. SJS
4/7/2018 STL vs. COL

DAL
4/3/2018 DAL vs. SJS
4/6/2018 DAL vs. ANA
4/7/2018 DAL vs. LAK

DET
4/3/2018 DET vs. CBJ
4/5/2018 MTL vs. DET
4/7/2018 NYI vs. DET

EDM
4/5/2018 VGK vs. EDM
4/7/2018 VAN vs. EDM

FLA
4/3/2018 NSH vs. FLA
4/5/2018 BOS vs. FLA
4/7/2018 BUF vs. FLA

LAK
4/5/2018 MIN vs. LAK
4/7/2018 DAL vs. LAK

MIN
4/4/2018 MIN vs. ANA
4/5/2018 MIN vs. LAK
4/7/2018 MIN vs. SJS

MTL
4/3/2018 WPG vs. MTL
4/5/2018 MTL vs. DET
4/7/2018 MTL vs. TOR

NJD
4/3/2018 NYR vs. NJD
4/5/2018 TOR vs. NJD
4/7/2018 NJD vs. WSH

NSH
4/3/2018 NSH vs. FLA
4/5/2018 NSH vs. WSH
4/7/2018 CBJ vs. NSH

NYI
4/3/2018 PHI vs. NYI
4/5/2018 NYR vs. NYI
4/7/2018 NYI vs. DET

NYR
4/3/2018 NYR vs. NJD
4/5/2018 NYR vs. NYI
4/7/2018 NYR vs. PHI

OTT
4/4/2018 OTT vs. BUF
4/6/2018 OTT vs. PIT
4/7/2018 OTT vs. BOS

PHI
4/3/2018 PHI vs. NYI
4/5/2018 CAR vs. PHI
4/7/2018 NYR vs. PHI

PIT
4/5/2018 PIT vs. CBJ
4/6/2018 OTT vs. PIT

SJS
4/3/2018 DAL vs. SJS
4/5/2018 COL vs. SJS
4/7/2018 MIN vs. SJS

STL
4/4/2018 CHI vs. STL
4/6/2018 STL vs. CHI
4/7/2018 STL vs. COL

TBL
4/3/2018 BOS vs. TBL
4/6/2018 BUF vs. TBL
4/7/2018 TBL vs. CAR

TOR
4/5/2018 TOR vs. NJD
4/7/2018 MTL vs. TOR

VAN
4/3/2018 VGK vs. VAN
4/5/2018 ARI vs. VAN
4/7/2018 VAN vs. EDM

VGK
4/3/2018 VGK vs. VAN
4/5/2018 VGK vs. EDM
4/7/2018 VGK vs. CGY

WPG
4/3/2018 WPG vs. MTL
4/5/2018 CGY vs. WPG
4/7/2018 CHI vs. WPG

WSH
4/5/2018 NSH vs. WSH
4/7/2018 NJD vs. WSH

