ANA
11/21/2018 VAN vs. ANA
11/23/2018 EDM vs. ANA
11/25/2018 ANA vs. NSH

ARI
11/21/2018 VGK vs. ARI
11/23/2018 COL vs. ARI
11/25/2018 CGY vs. ARI

BOS
11/21/2018 BOS vs. DET
11/23/2018 PIT vs. BOS
11/24/2018 BOS vs. MTL
11/26/2018 BOS vs. TOR

BUF
11/21/2018 PHI vs. BUF
11/23/2018 MTL vs. BUF
11/24/2018 BUF vs. DET

CAR
11/21/2018 TOR vs. CAR
11/23/2018 FLA vs. CAR
11/24/2018 CAR vs. NYI

CBJ
11/23/2018 TOR vs. CBJ
11/24/2018 CBJ vs. PIT
11/26/2018 CBJ vs. DET

CGY
11/21/2018 WPG vs. CGY
11/23/2018 CGY vs. VGK
11/25/2018 CGY vs. ARI

CHI
11/21/2018 CHI vs. WSH
11/23/2018 CHI vs. TBL
11/24/2018 CHI vs. FLA

COL
11/21/2018 COL vs. LAK
11/23/2018 COL vs. ARI
11/24/2018 DAL vs. COL

DAL
11/21/2018 DAL vs. PIT
11/23/2018 OTT vs. DAL
11/24/2018 DAL vs. COL

DET
11/21/2018 BOS vs. DET
11/23/2018 DET vs. WSH
11/24/2018 BUF vs. DET
11/26/2018 CBJ vs. DET

EDM
11/20/2018 EDM vs. SJS
11/23/2018 EDM vs. ANA
11/25/2018 EDM vs. LAK

FLA
11/21/2018 FLA vs. TBL
11/23/2018 FLA vs. CAR
11/24/2018 CHI vs. FLA
11/26/2018 NJD vs. FLA

LAK
11/21/2018 COL vs. LAK
11/24/2018 VAN vs. LAK
11/25/2018 EDM vs. LAK

MIN
11/21/2018 OTT vs. MIN
11/23/2018 WPG vs. MIN

MTL
11/21/2018 MTL vs. NJD
11/23/2018 MTL vs. BUF
11/24/2018 BOS vs. MTL

NJD
11/21/2018 MTL vs. NJD
11/23/2018 NYI vs. NJD
11/25/2018 NJD vs. TBL
11/26/2018 NJD vs. FLA

NSH
11/21/2018 STL vs. NSH
11/23/2018 NSH vs. STL
11/25/2018 ANA vs. NSH

NYI
11/21/2018 NYI vs. NYR
11/23/2018 NYI vs. NJD
11/24/2018 CAR vs. NYI
11/26/2018 WSH vs. NYI

NYR
11/21/2018 NYI vs. NYR
11/23/2018 NYR vs. PHI
11/24/2018 WSH vs. NYR
11/26/2018 OTT vs. NYR

OTT
11/21/2018 OTT vs. MIN
11/23/2018 OTT vs. DAL
11/26/2018 OTT vs. NYR

PHI
11/21/2018 PHI vs. BUF
11/23/2018 NYR vs. PHI
11/24/2018 PHI vs. TOR

PIT
11/21/2018 DAL vs. PIT
11/23/2018 PIT vs. BOS
11/24/2018 CBJ vs. PIT

SJS
11/20/2018 EDM vs. SJS
11/23/2018 VAN vs. SJS
11/24/2018 SJS vs. VGK

STL
11/21/2018 STL vs. NSH
11/23/2018 NSH vs. STL
11/24/2018 WPG vs. STL

TBL
11/21/2018 FLA vs. TBL
11/23/2018 CHI vs. TBL
11/25/2018 NJD vs. TBL

TOR
11/21/2018 TOR vs. CAR
11/23/2018 TOR vs. CBJ
11/24/2018 PHI vs. TOR
11/26/2018 BOS vs. TOR

VAN
11/21/2018 VAN vs. ANA
11/23/2018 VAN vs. SJS
11/24/2018 VAN vs. LAK

VGK
11/21/2018 VGK vs. ARI
11/23/2018 CGY vs. VGK
11/24/2018 SJS vs. VGK

WPG
11/21/2018 WPG vs. CGY
11/23/2018 WPG vs. MIN
11/24/2018 WPG vs. STL

WSH
11/21/2018 CHI vs. WSH
11/23/2018 DET vs. WSH
11/24/2018 WSH vs. NYR
11/26/2018 WSH vs. NYI

