ANA
2/6/2018 ANA vs. BUF
2/9/2018 EDM vs. ANA
2/11/2018 SJS vs. ANA

ARI
2/6/2018 ARI vs. WPG
2/8/2018 ARI vs. MIN
2/10/2018 PHI vs. ARI
2/12/2018 CHI vs. ARI

BOS
2/6/2018 BOS vs. DET
2/7/2018 BOS vs. NYR
2/10/2018 BUF vs. BOS
2/11/2018 BOS vs. NJD

BUF
2/6/2018 ANA vs. BUF
2/8/2018 NYI vs. BUF
2/10/2018 BUF vs. BOS
2/11/2018 COL vs. BUF

CAR
2/6/2018 PHI vs. CAR
2/9/2018 VAN vs. CAR
2/10/2018 COL vs. CAR

CBJ
2/6/2018 WSH vs. CBJ
2/9/2018 CBJ vs. WSH
2/10/2018 NJD vs. CBJ

CGY
2/6/2018 CGY vs. CHI
2/8/2018 CGY vs. NJD
2/9/2018 CGY vs. NYR
2/11/2018 CGY vs. NYI

CHI
2/6/2018 CGY vs. CHI
2/8/2018 DAL vs. CHI
2/10/2018 CHI vs. MIN
2/12/2018 CHI vs. ARI

COL
2/6/2018 SJS vs. COL
2/8/2018 COL vs. STL
2/10/2018 COL vs. CAR
2/11/2018 COL vs. BUF

DAL
2/8/2018 DAL vs. CHI
2/9/2018 PIT vs. DAL
2/11/2018 VAN vs. DAL

DET
2/6/2018 BOS vs. DET
2/9/2018 DET vs. NYI
2/11/2018 DET vs. WSH

EDM
2/7/2018 EDM vs. LAK
2/9/2018 EDM vs. ANA
2/10/2018 EDM vs. SJS
2/12/2018 FLA vs. EDM

FLA
2/6/2018 VAN vs. FLA
2/9/2018 LAK vs. FLA
2/12/2018 FLA vs. EDM

LAK
2/7/2018 EDM vs. LAK
2/9/2018 LAK vs. FLA
2/10/2018 LAK vs. TBL

MIN
2/6/2018 MIN vs. STL
2/8/2018 ARI vs. MIN
2/10/2018 CHI vs. MIN

MTL
2/8/2018 MTL vs. PHI
2/10/2018 NSH vs. MTL

NJD
2/6/2018 NJD vs. OTT
2/8/2018 CGY vs. NJD
2/10/2018 NJD vs. CBJ
2/11/2018 BOS vs. NJD

NSH
2/7/2018 NSH vs. TOR
2/8/2018 NSH vs. OTT
2/10/2018 NSH vs. MTL

NYI
2/8/2018 NYI vs. BUF
2/9/2018 DET vs. NYI
2/11/2018 CGY vs. NYI

NYR
2/7/2018 BOS vs. NYR
2/9/2018 CGY vs. NYR
2/11/2018 NYR vs. WPG

OTT
2/6/2018 NJD vs. OTT
2/8/2018 NSH vs. OTT
2/10/2018 OTT vs. TOR

PHI
2/6/2018 PHI vs. CAR
2/8/2018 MTL vs. PHI
2/10/2018 PHI vs. ARI
2/11/2018 PHI vs. VGK

PIT
2/6/2018 VGK vs. PIT
2/9/2018 PIT vs. DAL
2/11/2018 PIT vs. STL

SJS
2/6/2018 SJS vs. COL
2/8/2018 VGK vs. SJS
2/10/2018 EDM vs. SJS
2/11/2018 SJS vs. ANA

STL
2/6/2018 MIN vs. STL
2/8/2018 COL vs. STL
2/9/2018 STL vs. WPG
2/11/2018 PIT vs. STL

TBL
2/8/2018 VAN vs. TBL
2/10/2018 LAK vs. TBL
2/12/2018 TBL vs. TOR

TOR
2/7/2018 NSH vs. TOR
2/10/2018 OTT vs. TOR
2/12/2018 TBL vs. TOR

VAN
2/6/2018 VAN vs. FLA
2/8/2018 VAN vs. TBL
2/9/2018 VAN vs. CAR
2/11/2018 VAN vs. DAL

VGK
2/6/2018 VGK vs. PIT
2/8/2018 VGK vs. SJS
2/11/2018 PHI vs. VGK

WPG
2/6/2018 ARI vs. WPG
2/9/2018 STL vs. WPG
2/11/2018 NYR vs. WPG

WSH
2/6/2018 WSH vs. CBJ
2/9/2018 CBJ vs. WSH
2/11/2018 DET vs. WSH

