10/17/2017,7:30 PM,Vancouver Canucks,Ottawa Senators
10/17/2017,8:00 PM,Colorado Avalanche,Nashville Predators
10/17/2017,8:00 PM,Columbus Blue Jackets,Winnipeg Jets
10/17/2017,8:30 PM,Arizona Coyotes,Dallas Stars
10/17/2017,9:00 PM,Carolina Hurricanes,Edmonton Oilers
10/17/2017,10:00 PM,Buffalo Sabres,Vegas Golden Knights
10/17/2017,10:30 PM,Montreal Canadiens,San Jose Sharks
10/18/2017,7:30 PM,Detroit Red Wings,Toronto Maple Leafs
10/18/2017,8:00 PM,Chicago Blackhawks,St. Louis Blues
10/18/2017,10:30 PM,Montreal Canadiens,Los Angeles Kings
10/19/2017,7:00 PM,Vancouver Canucks,Boston Bruins
10/19/2017,7:00 PM,New York Islanders,New York Rangers
10/19/2017,7:00 PM,Nashville Predators,Philadelphia Flyers
10/19/2017,7:00 PM,Tampa Bay Lightning,Columbus Blue Jackets
10/19/2017,7:30 PM,New Jersey Devils,Ottawa Senators
10/19/2017,8:30 PM,Edmonton Oilers,Chicago Blackhawks
10/19/2017,9:00 PM,St. Louis Blues,Colorado Avalanche
10/19/2017,9:00 PM,Carolina Hurricanes,Calgary Flames
10/19/2017,10:00 PM,Dallas Stars,Arizona Coyotes
10/20/2017,7:00 PM,Vancouver Canucks,Buffalo Sabres
10/20/2017,7:00 PM,San Jose Sharks,New Jersey Devils
10/20/2017,7:30 PM,Washington Capitals,Detroit Red Wings
10/20/2017,7:30 PM,Pittsburgh Penguins,Florida Panthers
10/20/2017,8:00 PM,Minnesota Wild,Winnipeg Jets
10/20/2017,10:00 PM,Montreal Canadiens,Anaheim Ducks
10/21/2017,1:00 PM,Nashville Predators,New York Rangers
10/21/2017,1:00 PM,Edmonton Oilers,Philadelphia Flyers
10/21/2017,7:00 PM,Buffalo Sabres,Boston Bruins
10/21/2017,7:00 PM,Toronto Maple Leafs,Ottawa Senators
10/21/2017,7:00 PM,Pittsburgh Penguins,Tampa Bay Lightning
10/21/2017,7:00 PM,San Jose Sharks,New York Islanders
10/21/2017,7:00 PM,Florida Panthers,Washington Capitals
10/21/2017,7:00 PM,Los Angeles Kings,Columbus Blue Jackets
10/21/2017,8:00 PM,Carolina Hurricanes,Dallas Stars
10/21/2017,9:00 PM,Chicago Blackhawks,Arizona Coyotes
10/21/2017,10:00 PM,Minnesota Wild,Calgary Flames
10/21/2017,10:30 PM,St. Louis Blues,Vegas Golden Knights
10/22/2017,7:00 PM,Vancouver Canucks,Detroit Red Wings
10/23/2017,7:00 PM,Los Angeles Kings,Toronto Maple Leafs
10/23/2017,7:00 PM,San Jose Sharks,New York Rangers
10/24/2017,7:00 PM,Detroit Red Wings,Buffalo Sabres
